Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Survived
2,Miss. Constance Mirium West,female,5.0,1,2,27.75,1
1,Mr. James Clinch Smith,male,56.0,0,0,30.6958,0
3,Mr. Lalio Jonkoff,male,23.0,0,0,7.8958,0
3,Mr. Phillippe Wiseman,male,54.0,0,0,7.25,0
3,Miss. Alice Phoebe Harknett,female,21.0,0,0,7.55,0
1,Mr. Jacques Heath Futrelle,male,37.0,1,0,53.1,0
2,Mrs. (Elizabeth Anne Maidment) Mellinger,female,41.0,0,1,19.5,1
3,Mr. Johan Werner Salonen,male,39.0,0,0,7.925,0
1,Miss. Elsie Edith Bowerman,female,22.0,0,1,55.0,1
3,Miss. Jamila Nicola-Yarred,female,14.0,1,0,11.2417,1
3,Miss. Bridget Mary O'Sullivan,female,21.0,0,0,7.6292,0
3,Miss. Constance Gladys Sage,female,8.0,8,2,69.55,0
3,Miss. Elina Olsson,female,31.0,0,0,7.8542,0
3,Mr. Rossmore Edward Abbott,male,16.0,1,1,20.25,0
3,Mr. Carl/Charles Peter Widegren,male,51.0,0,0,7.75,0
3,Mr. Frederick Sage,male,17.0,8,2,69.55,0
3,Mr. Konrad Mathias Reiersen Hagland,male,19.0,1,0,19.9667,0
2,Mr. Percival James R Sharp,male,27.0,0,0,26.0,0
1,Mr. Harry Homer,male,35.0,0,0,26.55,1
1,Mrs. John Bradley (Florence Briggs Thayer) Cumings,female,38.0,1,0,71.2833,1
1,Mr. Richard William Smith,male,57.0,0,0,26.0,0
3,Mr. Leon Hampe,male,20.0,0,0,9.5,0
3,Miss. Ida Sofia Strandberg,female,22.0,0,0,9.8375,0
3,Mr. Hanna Boulos,male,18.0,0,0,7.225,0
3,Mr. Olof Svensson,male,24.0,0,0,7.7958,0
2,Mr. Frederick James Banfield,male,28.0,0,0,10.5,0
3,Miss. Mabel Skoog,female,9.0,3,2,27.9,0
3,Mr. Nils Martin Odahl,male,23.0,0,0,9.225,0
1,Miss. Alice Cleaver,female,22.0,0,0,151.55,1
1,Mr. Mauritz Hakan Bjornstrom-Steffansson,male,28.0,0,0,26.55,1
1,Mr. Thornton Davidson,male,31.0,1,0,52.0,0
3,Mrs. (Mantoura Boulos) Moussa,female,35.0,0,0,7.2292,1
1,Mr. Edward Pomeroy Colley,male,47.0,0,0,25.5875,0
2,Mrs. Harvey (Charlotte Annie Tate) Collyer,female,31.0,1,1,26.25,1
2,Miss. Lucy Ridsdale,female,50.0,0,0,10.5,1
3,Mr. Ilmari Rudolf Alhomaki,male,20.0,0,0,7.925,0
3,Mr. Stefo Pavlovic,male,32.0,0,0,7.8958,0
1,Mrs. Norman Campbell (Bertha Griggs) Chambers,female,33.0,1,0,53.1,1
1,Mr. William Thompson Sloper,male,28.0,0,0,35.5,1
3,Mr. Eliezer Gilinski,male,22.0,0,0,8.05,0
2,Mr. William John Mellors,male,19.0,0,0,10.5,1
1,Mr. Stephen Weart Blackwell,male,45.0,0,0,35.5,0
3,Mr. Hans Peder Jensen,male,20.0,0,0,7.8542,0
3,Mr. Niels Peder Jensen,male,48.0,0,0,7.8542,0
